epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.249,0.95472,1.40982,1.01087,0.9309,0.95667,0.97857,0.6804,1.09992,0.74249,0.95737,0.000665679,0.000665679,0.000665679
2,343.882,0.8837,0.72701,0.98783,0.98375,0.99417,0.99162,0.84524,0.62713,0.53078,0.85888,0.00124441,0.00124441,0.00124441
3,504.219,0.83837,0.60103,0.97289,0.99108,0.99306,0.99343,0.80236,0.77433,0.45767,0.88742,0.00173514,0.00173514,0.00173514
4,662.721,0.78738,0.54563,0.95713,0.99554,0.995,0.993,0.80703,0.72504,0.41784,0.88457,0.001604,0.001604,0.001604
5,821.553,0.74689,0.49326,0.94373,0.99398,0.99611,0.99309,0.87039,0.56002,0.36406,0.84692,0.001472,0.001472,0.001472
6,980.207,0.70676,0.46429,0.92948,0.99473,0.99546,0.99349,0.90598,0.44495,0.3215,0.82774,0.00134,0.00134,0.00134
7,1138.51,0.67561,0.43999,0.92092,0.99583,0.99611,0.9935,0.88659,0.5124,0.32166,0.8397,0.001208,0.001208,0.001208
8,1299,0.64457,0.41357,0.91108,0.99519,0.99694,0.99336,0.90958,0.45508,0.30157,0.8278,0.001076,0.001076,0.001076
9,1457.11,0.61165,0.38722,0.90435,0.99584,0.9963,0.99383,0.90461,0.49002,0.2923,0.83499,0.000944,0.000944,0.000944
10,1614.34,0.59698,0.37485,0.901,0.99554,0.99639,0.99379,0.94749,0.35357,0.26243,0.81175,0.000812,0.000812,0.000812
11,1772.08,0.56353,0.35607,0.88985,0.99556,0.99668,0.99371,0.93965,0.37248,0.25709,0.81087,0.00068,0.00068,0.00068
12,1930.02,0.53325,0.3364,0.88245,0.99602,0.99694,0.99345,0.95976,0.31231,0.23584,0.80367,0.000548,0.000548,0.000548
13,2089.15,0.51504,0.32275,0.87504,0.99608,0.99722,0.99354,0.95644,0.33979,0.23297,0.80436,0.000416,0.000416,0.000416
14,2247.31,0.49052,0.30788,0.87036,0.99612,0.99722,0.99389,0.9624,0.30701,0.22116,0.79977,0.000284,0.000284,0.000284
15,2403.58,0.46608,0.29226,0.8638,0.99529,0.99743,0.99365,0.96663,0.29106,0.21157,0.79845,0.000152,0.000152,0.000152
