epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.587,0.55319,0.35962,0.90961,0.99456,0.99611,0.99389,0.92507,0.4031,0.30222,0.81861,0.000666173,0.000666173,0.000666173
2,610.645,0.60545,0.39762,0.92855,0.99111,0.99131,0.99339,0.92414,0.42583,0.32817,0.82971,0.00120089,0.00120089,0.00120089
3,903.874,0.60902,0.39621,0.93139,0.99611,0.99632,0.99401,0.90593,0.48528,0.30831,0.83145,0.0016036,0.0016036,0.0016036
4,1196.82,0.59319,0.38505,0.92285,0.99666,0.99603,0.99403,0.93685,0.38647,0.28598,0.81106,0.001406,0.001406,0.001406
5,1494.73,0.56796,0.36586,0.91318,0.9935,0.99694,0.99369,0.91516,0.46323,0.28355,0.82013,0.001208,0.001208,0.001208
6,1790.74,0.54278,0.34558,0.90287,0.99584,0.99668,0.99361,0.94608,0.35753,0.25738,0.80422,0.00101,0.00101,0.00101
7,2087.56,0.50856,0.32399,0.89459,0.99612,0.99738,0.99379,0.96512,0.30625,0.22798,0.79465,0.000812,0.000812,0.000812
8,2387.85,0.48013,0.30416,0.88224,0.9958,0.9975,0.99412,0.96475,0.30105,0.22105,0.79261,0.000614,0.000614,0.000614
9,2678.49,0.45729,0.28769,0.8766,0.99575,0.99694,0.994,0.9695,0.27623,0.20253,0.78741,0.000416,0.000416,0.000416
10,2969.3,0.4356,0.27279,0.87029,0.99597,0.99694,0.99377,0.97371,0.27825,0.193,0.78866,0.000218,0.000218,0.000218
