epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.61,0.84502,1.5631,0.98723,0.93767,0.92765,0.9727,0.73449,0.90958,0.75034,0.91322,0.000665679,0.000665679,0.000665679
2,365.598,0.78877,0.79757,0.96562,0.96349,0.96754,0.9842,0.78575,0.79516,0.49052,0.89431,0.00124441,0.00124441,0.00124441
3,541.004,0.75695,0.65571,0.96029,0.95249,0.97528,0.98504,0.82609,0.71513,0.45863,0.87789,0.00173514,0.00173514,0.00173514
4,714.697,0.73143,0.58259,0.95456,0.96466,0.97583,0.9887,0.77678,0.87972,0.44988,0.93364,0.001604,0.001604,0.001604
5,890.923,0.70193,0.53727,0.94498,0.98332,0.98611,0.99142,0.85631,0.61582,0.35872,0.86785,0.001472,0.001472,0.001472
6,1064.65,0.67446,0.49101,0.93526,0.97556,0.98673,0.99078,0.86019,0.61066,0.35229,0.86623,0.00134,0.00134,0.00134
7,1237.39,0.61833,0.44724,0.91567,0.98462,0.98472,0.98994,0.86615,0.58887,0.32305,0.85941,0.001208,0.001208,0.001208
8,1413.31,0.59588,0.42723,0.91031,0.98718,0.98416,0.99102,0.91451,0.43546,0.28323,0.83026,0.001076,0.001076,0.001076
9,1588.23,0.56669,0.40119,0.90145,0.98778,0.98802,0.99175,0.92349,0.41609,0.27192,0.82282,0.000944,0.000944,0.000944
10,1760.77,0.55171,0.38278,0.89673,0.98848,0.9925,0.99174,0.93785,0.38608,0.25789,0.81178,0.000812,0.000812,0.000812
11,1935.07,0.52398,0.35854,0.8858,0.98737,0.99056,0.99228,0.94137,0.36573,0.24118,0.81188,0.00068,0.00068,0.00068
12,2108.79,0.5081,0.35057,0.88471,0.98781,0.99049,0.99243,0.93185,0.40066,0.24613,0.81777,0.000548,0.000548,0.000548
13,2282.43,0.48905,0.33374,0.8761,0.98564,0.9912,0.99159,0.95329,0.33824,0.22629,0.80457,0.000416,0.000416,0.000416
14,2455.49,0.46368,0.31457,0.8698,0.98823,0.99194,0.99163,0.9473,0.35159,0.22075,0.80696,0.000284,0.000284,0.000284
15,2628.75,0.44351,0.30023,0.86338,0.99022,0.98972,0.99148,0.96278,0.29905,0.20479,0.79885,0.000152,0.000152,0.000152
