epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.559,0.5003,0.36635,0.90624,0.98274,0.98583,0.98904,0.91582,0.4336,0.3008,0.83758,0.000666173,0.000666173,0.000666173
2,644.708,0.54155,0.41337,0.92601,0.98691,0.98435,0.98964,0.91625,0.42399,0.29927,0.8333,0.00120089,0.00120089,0.00120089
3,957.897,0.54506,0.4119,0.92616,0.9862,0.985,0.98909,0.91862,0.42409,0.29159,0.83592,0.0016036,0.0016036,0.0016036
4,1266.57,0.53424,0.39821,0.92055,0.98419,0.98556,0.99054,0.8956,0.4847,0.29332,0.85736,0.001406,0.001406,0.001406
5,1577.2,0.50956,0.38002,0.90784,0.98681,0.98944,0.99229,0.92197,0.43097,0.27484,0.82911,0.001208,0.001208,0.001208
6,1889.02,0.48768,0.35501,0.89939,0.98697,0.98927,0.99156,0.94835,0.34933,0.24384,0.81291,0.00101,0.00101,0.00101
7,2201.32,0.45812,0.33364,0.88965,0.9873,0.99028,0.9914,0.95301,0.33281,0.231,0.80747,0.000812,0.000812,0.000812
8,2514.52,0.44396,0.3169,0.88586,0.98914,0.98861,0.99278,0.96638,0.2936,0.21759,0.79934,0.000614,0.000614,0.000614
9,2824.08,0.42475,0.29761,0.875,0.99027,0.99056,0.99242,0.96784,0.29137,0.20663,0.79645,0.000416,0.000416,0.000416
10,3136.8,0.4039,0.28117,0.86988,0.98999,0.98972,0.99309,0.97043,0.27571,0.19551,0.79408,0.000218,0.000218,0.000218
