epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.387,0.8625,1.31663,1.02955,0.89678,0.93694,0.95515,0.75189,0.83177,0.74512,0.89943,0.000665679,0.000665679,0.000665679
2,349.859,0.83198,0.71321,0.99963,0.97574,0.96068,0.98752,0.8688,0.53484,0.39708,0.83177,0.00124441,0.00124441,0.00124441
3,515.937,0.7872,0.6005,0.97611,0.97478,0.9663,0.98764,0.85007,0.57004,0.39141,0.84422,0.00173514,0.00173514,0.00173514
4,681.358,0.74988,0.54099,0.96575,0.97761,0.98889,0.98889,0.81195,0.73152,0.37164,0.86661,0.001604,0.001604,0.001604
5,847.631,0.7085,0.49496,0.94829,0.98231,0.98725,0.99218,0.90694,0.44514,0.30361,0.81151,0.001472,0.001472,0.001472
6,1015.32,0.67194,0.45804,0.93391,0.98609,0.98806,0.99281,0.91779,0.43174,0.28835,0.80776,0.00134,0.00134,0.00134
7,1181.88,0.65099,0.43675,0.9282,0.99033,0.98889,0.99327,0.91251,0.43247,0.27373,0.80352,0.001208,0.001208,0.001208
8,1350.43,0.623,0.40526,0.91333,0.98793,0.99056,0.99358,0.94743,0.37064,0.25001,0.79738,0.001076,0.001076,0.001076
9,1515.75,0.60484,0.39174,0.9118,0.99083,0.99008,0.99328,0.90737,0.46914,0.25859,0.80663,0.000944,0.000944,0.000944
10,1681.89,0.58342,0.37066,0.90304,0.99388,0.99291,0.99395,0.95677,0.34704,0.22529,0.78997,0.000812,0.000812,0.000812
11,1847.98,0.5651,0.36028,0.90019,0.99322,0.99111,0.99396,0.95956,0.32616,0.21505,0.78581,0.00068,0.00068,0.00068
12,2013.47,0.53988,0.33871,0.88825,0.99224,0.99427,0.99386,0.95603,0.35182,0.20634,0.78742,0.000548,0.000548,0.000548
13,2179.93,0.51852,0.32304,0.88575,0.99301,0.9925,0.99373,0.97001,0.29453,0.188,0.78022,0.000416,0.000416,0.000416
14,2346.24,0.49145,0.30458,0.87613,0.99415,0.99361,0.99404,0.96829,0.30948,0.18465,0.78127,0.000284,0.000284,0.000284
15,2511.22,0.46779,0.28934,0.8704,0.99318,0.99333,0.99418,0.97783,0.25466,0.16622,0.77496,0.000152,0.000152,0.000152
