epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.251,0.54202,0.34649,0.93461,0.98788,0.98556,0.99315,0.90803,0.49457,0.2689,0.84657,0.000666173,0.000666173,0.000666173
2,625.091,0.57981,0.38431,0.94729,0.98917,0.98989,0.99356,0.93703,0.3904,0.2488,0.82558,0.00120089,0.00120089,0.00120089
3,932.856,0.5808,0.38161,0.94566,0.96839,0.98704,0.98687,0.94331,0.35523,0.26181,0.81954,0.0016036,0.0016036,0.0016036
4,1235.75,0.56734,0.37216,0.93738,0.98636,0.99306,0.99255,0.93744,0.38651,0.23853,0.82206,0.001406,0.001406,0.001406
5,1540.15,0.54322,0.36026,0.928,0.99085,0.99291,0.9932,0.94466,0.37204,0.22847,0.81614,0.001208,0.001208,0.001208
6,1848.57,0.52075,0.33644,0.92051,0.98974,0.99172,0.99317,0.95661,0.31663,0.20804,0.80339,0.00101,0.00101,0.00101
7,2151.76,0.48661,0.3136,0.9082,0.99176,0.99417,0.99376,0.97535,0.26566,0.18653,0.79358,0.000812,0.000812,0.000812
8,2455.95,0.46553,0.29761,0.89824,0.99104,0.99444,0.99402,0.9793,0.24742,0.1798,0.79292,0.000614,0.000614,0.000614
9,2758.84,0.43691,0.27582,0.89161,0.99223,0.99389,0.99367,0.98057,0.23951,0.16361,0.78893,0.000416,0.000416,0.000416
10,3061.47,0.41778,0.26028,0.88768,0.9949,0.99194,0.99395,0.98342,0.22766,0.1549,0.78473,0.000218,0.000218,0.000218
