epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.482,0.74617,1.25091,1.02336,0.87981,0.92684,0.94599,0.73033,0.8846,0.70501,0.96084,0.000665679,0.000665679,0.000665679
2,330.402,0.71296,0.68466,1.00491,0.92749,0.89597,0.96049,0.85021,0.51998,0.53997,0.85182,0.00124441,0.00124441,0.00124441
3,485.847,0.68696,0.58559,0.99188,0.94178,0.94659,0.97829,0.87097,0.49658,0.44628,0.84689,0.00173514,0.00173514,0.00173514
4,640.699,0.64856,0.52145,0.97439,0.96329,0.97858,0.99106,0.87603,0.54439,0.364,0.84524,0.001604,0.001604,0.001604
5,796.995,0.61112,0.47617,0.96055,0.97069,0.97997,0.99123,0.92155,0.39364,0.31348,0.80765,0.001472,0.001472,0.001472
6,955.022,0.57887,0.45061,0.94949,0.97012,0.97528,0.99048,0.95132,0.33194,0.2881,0.79276,0.00134,0.00134,0.00134
7,1110.63,0.54653,0.41377,0.93302,0.98092,0.97691,0.99282,0.95943,0.30392,0.25653,0.79288,0.001208,0.001208,0.001208
8,1267.53,0.53527,0.3923,0.92776,0.98597,0.9872,0.99281,0.96891,0.28607,0.23085,0.78187,0.001076,0.001076,0.001076
9,1426.15,0.51435,0.37197,0.91904,0.98693,0.98736,0.99399,0.97268,0.26385,0.21765,0.77823,0.000944,0.000944,0.000944
10,1581.24,0.49861,0.35218,0.91401,0.98828,0.98525,0.99391,0.97544,0.25579,0.21914,0.78104,0.000812,0.000812,0.000812
11,1735.47,0.47433,0.33297,0.90711,0.98613,0.98867,0.99406,0.97854,0.24907,0.20117,0.77245,0.00068,0.00068,0.00068
12,1890.37,0.45857,0.31608,0.89862,0.98998,0.98939,0.99411,0.98152,0.22857,0.18269,0.77033,0.000548,0.000548,0.000548
13,2047.8,0.43837,0.30397,0.89043,0.99055,0.99158,0.99445,0.98384,0.22333,0.1746,0.76501,0.000416,0.000416,0.000416
14,2202.71,0.41271,0.28124,0.88334,0.98812,0.99462,0.99469,0.98499,0.2155,0.16575,0.76433,0.000284,0.000284,0.000284
15,2357.93,0.39956,0.26982,0.87817,0.99402,0.99249,0.9948,0.98669,0.19781,0.15671,0.76252,0.000152,0.000152,0.000152
