epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.484,0.46552,0.33026,0.9455,0.98543,0.98915,0.99264,0.95489,0.33322,0.24052,0.82215,0.000666173,0.000666173,0.000666173
2,596.466,0.51077,0.37426,0.96531,0.97516,0.98359,0.99167,0.96513,0.28971,0.24669,0.82117,0.00120089,0.00120089,0.00120089
3,887.664,0.51662,0.3838,0.9663,0.98501,0.98716,0.99218,0.9586,0.30405,0.24486,0.82205,0.0016036,0.0016036,0.0016036
4,1177.28,0.49767,0.36817,0.9578,0.97662,0.98915,0.99244,0.96964,0.27388,0.22862,0.80824,0.001406,0.001406,0.001406
5,1470.13,0.47787,0.34978,0.94854,0.98409,0.98665,0.9933,0.96784,0.2784,0.22002,0.80799,0.001208,0.001208,0.001208
6,1764.33,0.45999,0.32802,0.93862,0.98835,0.98999,0.9942,0.97879,0.24295,0.20317,0.80191,0.00101,0.00101,0.00101
7,2059.1,0.42786,0.30333,0.92116,0.98702,0.99442,0.99416,0.98233,0.224,0.18537,0.79091,0.000812,0.000812,0.000812
8,2358.39,0.42002,0.29058,0.91548,0.9884,0.99581,0.99383,0.98032,0.24531,0.17946,0.7936,0.000614,0.000614,0.000614
9,2655.75,0.40125,0.27575,0.90882,0.99031,0.99514,0.99418,0.98733,0.19052,0.15973,0.78187,0.000416,0.000416,0.000416
10,2952.27,0.37851,0.25333,0.90095,0.99306,0.9946,0.99473,0.98822,0.18733,0.15132,0.78099,0.000218,0.000218,0.000218
