epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.99,0.84063,1.24967,1.02189,0.95504,0.93496,0.98,0.8107,0.69959,0.58895,0.85393,0.000665679,0.000665679,0.000665679
2,326.758,0.79717,0.64694,0.98295,0.97615,0.97026,0.99135,0.77805,0.84105,0.43691,0.87384,0.00124441,0.00124441,0.00124441
3,477.958,0.75116,0.54259,0.96699,0.98513,0.96081,0.99111,0.85175,0.60782,0.36329,0.82453,0.00173514,0.00173514,0.00173514
4,628.166,0.71715,0.48884,0.9498,0.97594,0.97777,0.99216,0.89425,0.51025,0.32589,0.80995,0.001604,0.001604,0.001604
5,779.98,0.68189,0.45628,0.93674,0.98521,0.98416,0.99331,0.91758,0.41259,0.28381,0.78815,0.001472,0.001472,0.001472
6,935.24,0.6504,0.42306,0.92699,0.98211,0.99167,0.99324,0.91283,0.43449,0.27278,0.78841,0.00134,0.00134,0.00134
7,1088.42,0.6185,0.39628,0.91629,0.99304,0.99156,0.99432,0.90952,0.45998,0.25548,0.78779,0.001208,0.001208,0.001208
8,1243.06,0.59749,0.37455,0.90538,0.99111,0.99109,0.9942,0.94681,0.35292,0.23695,0.77672,0.001076,0.001076,0.001076
9,1396.28,0.57916,0.36054,0.90263,0.99463,0.99555,0.99448,0.95177,0.34721,0.22048,0.77411,0.000944,0.000944,0.000944
10,1549.26,0.55218,0.34142,0.89304,0.99242,0.99361,0.99434,0.96795,0.29263,0.20376,0.76582,0.000812,0.000812,0.000812
11,1701.44,0.52449,0.32538,0.88593,0.98997,0.99583,0.99433,0.95029,0.35754,0.20256,0.77021,0.00068,0.00068,0.00068
12,1852.62,0.49002,0.30696,0.87609,0.99458,0.99639,0.99449,0.96487,0.31917,0.19119,0.76381,0.000548,0.000548,0.000548
13,2004.34,0.46633,0.29343,0.8702,0.99363,0.99788,0.99461,0.97327,0.28707,0.17527,0.75925,0.000416,0.000416,0.000416
14,2156.25,0.43797,0.27475,0.86094,0.99583,0.99528,0.99461,0.97786,0.27732,0.16678,0.75849,0.000284,0.000284,0.000284
15,2308.15,0.41433,0.26081,0.85641,0.995,0.99624,0.99452,0.98025,0.24085,0.15512,0.75423,0.000152,0.000152,0.000152
