epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.149,0.48321,0.30526,0.91366,0.98743,0.99277,0.99383,0.9253,0.4107,0.23456,0.82861,0.000666173,0.000666173,0.000666173
2,591.418,0.52469,0.34497,0.92368,0.98972,0.98976,0.99434,0.95622,0.33293,0.22091,0.81542,0.00120089,0.00120089,0.00120089
3,876.479,0.53024,0.34429,0.92714,0.99015,0.99111,0.99306,0.95427,0.32299,0.22277,0.81269,0.0016036,0.0016036,0.0016036
4,1164.74,0.51199,0.33241,0.91485,0.99093,0.99361,0.99416,0.94924,0.35369,0.21933,0.81581,0.001406,0.001406,0.001406
5,1454.31,0.48633,0.31728,0.90878,0.99416,0.99386,0.99397,0.97076,0.29227,0.19179,0.80382,0.001208,0.001208,0.001208
6,1740.37,0.46372,0.29858,0.90084,0.99539,0.99361,0.9943,0.97386,0.27717,0.17844,0.79844,0.00101,0.00101,0.00101
7,2026.16,0.43408,0.27795,0.88945,0.99444,0.9925,0.99431,0.9738,0.26269,0.17023,0.79408,0.000812,0.000812,0.000812
8,2315.25,0.40981,0.26159,0.88244,0.99408,0.9975,0.99444,0.97805,0.24545,0.15776,0.78935,0.000614,0.000614,0.000614
9,2604.95,0.39067,0.24563,0.87576,0.99639,0.99763,0.99439,0.98374,0.20808,0.13956,0.78517,0.000416,0.000416,0.000416
10,2893.13,0.36503,0.23265,0.86584,0.99639,0.99773,0.99459,0.98396,0.2078,0.13641,0.78367,0.000218,0.000218,0.000218
