epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.651,1.51888,2.16373,1.40769,0.70314,0.65757,0.7425,0.419,1.53264,1.39632,1.32087,0.000665679,0.000665679,0.000665679
2,934.875,1.38889,1.22908,1.29899,0.894,0.82181,0.91402,0.57928,1.25026,0.87882,1.18888,0.00124441,0.00124441,0.00124441
3,1400.02,1.3223,1.02782,1.26265,0.92675,0.88755,0.94644,0.59472,1.27708,0.74125,1.172,0.00173514,0.00173514,0.00173514
4,1859.9,1.25631,0.91015,1.22958,0.91328,0.91314,0.95243,0.6246,1.2008,0.71369,1.14247,0.001604,0.001604,0.001604
5,2324.72,1.20468,0.84564,1.19969,0.91731,0.90562,0.95508,0.64041,1.15813,0.6822,1.11542,0.001472,0.001472,0.001472
6,2788.83,1.17746,0.79897,1.18705,0.94586,0.9304,0.96528,0.61839,1.23908,0.6404,1.13191,0.00134,0.00134,0.00134
7,3255.03,1.13392,0.74018,1.1618,0.93504,0.94627,0.97117,0.65294,1.14695,0.60295,1.10528,0.001208,0.001208,0.001208
8,3720.36,1.10478,0.70959,1.14244,0.92941,0.93374,0.97446,0.66505,1.10974,0.58104,1.07969,0.001076,0.001076,0.001076
9,4179.45,1.07195,0.67551,1.12456,0.93446,0.93569,0.97432,0.67368,1.11143,0.57554,1.0724,0.000944,0.000944,0.000944
10,4636.7,1.05104,0.65478,1.11271,0.9496,0.94961,0.97966,0.68849,1.06318,0.53744,1.0529,0.000812,0.000812,0.000812
11,5097.83,1.01217,0.62291,1.09123,0.94442,0.95824,0.98363,0.71881,0.96249,0.50667,1.02306,0.00068,0.00068,0.00068
12,5558.3,0.98145,0.59389,1.08163,0.94034,0.94126,0.97725,0.72172,0.95575,0.50084,1.02013,0.000548,0.000548,0.000548
13,6017.06,0.95248,0.57434,1.06885,0.93894,0.94488,0.97678,0.73074,0.93471,0.48835,1.00386,0.000416,0.000416,0.000416
14,6474.37,0.93287,0.55265,1.05866,0.94412,0.9501,0.98179,0.74258,0.92462,0.47465,1.00017,0.000284,0.000284,0.000284
15,6932.5,0.91534,0.5437,1.04847,0.94877,0.94989,0.98268,0.76128,0.85922,0.45228,0.98268,0.000152,0.000152,0.000152
