epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.896,0.96529,1.60435,1.12335,0.81674,0.78127,0.85761,0.61192,1.06987,1.00113,1.05198,0.000665679,0.000665679,0.000665679
2,338.573,0.90223,0.85396,1.07314,0.93969,0.88494,0.95913,0.76635,0.77983,0.60309,0.94903,0.00124441,0.00124441,0.00124441
3,494.888,0.85728,0.72099,1.04747,0.94072,0.93635,0.97142,0.75722,0.83409,0.55261,0.96478,0.00173514,0.00173514,0.00173514
4,650.047,0.82341,0.6463,1.02818,0.94022,0.93984,0.97217,0.76011,0.85537,0.52145,0.96616,0.001604,0.001604,0.001604
5,806.152,0.78541,0.58885,1.00748,0.94945,0.94997,0.98134,0.80306,0.72353,0.42995,0.91816,0.001472,0.001472,0.001472
6,963.645,0.74949,0.5436,0.98824,0.95523,0.96069,0.98373,0.81743,0.71521,0.42551,0.90941,0.00134,0.00134,0.00134
7,1118.29,0.72116,0.50965,0.97494,0.96321,0.96609,0.98629,0.74848,0.97782,0.44818,0.97664,0.001208,0.001208,0.001208
8,1274.9,0.6776,0.47332,0.95959,0.97372,0.96817,0.98703,0.8498,0.59822,0.34668,0.87334,0.001076,0.001076,0.001076
9,1430.63,0.65082,0.45254,0.94602,0.97396,0.9597,0.98684,0.87812,0.51008,0.32387,0.85661,0.000944,0.000944,0.000944
10,1587.6,0.62775,0.4314,0.93853,0.9714,0.97241,0.98865,0.89709,0.46345,0.30137,0.84574,0.000812,0.000812,0.000812
11,1742.73,0.59996,0.40654,0.93116,0.97095,0.97555,0.98877,0.90512,0.45074,0.28886,0.83991,0.00068,0.00068,0.00068
12,1897.31,0.57575,0.38668,0.92076,0.97803,0.97082,0.98939,0.8981,0.47262,0.28407,0.83998,0.000548,0.000548,0.000548
13,2054.04,0.55242,0.36803,0.90775,0.97541,0.97832,0.99042,0.92384,0.40974,0.26229,0.82862,0.000416,0.000416,0.000416
14,2212.64,0.5283,0.3467,0.90259,0.97921,0.98185,0.99123,0.91629,0.43967,0.25579,0.82978,0.000284,0.000284,0.000284
15,2367.95,0.51715,0.33612,0.89675,0.98005,0.98289,0.99127,0.9409,0.36297,0.23518,0.82017,0.000152,0.000152,0.000152
