epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.882,0.58245,0.39985,0.96628,0.97401,0.96165,0.988,0.87975,0.51627,0.32901,0.90142,0.000666173,0.000666173,0.000666173
2,621.49,0.62093,0.44777,0.98314,0.97226,0.97422,0.98764,0.86699,0.55723,0.34481,0.90766,0.00120089,0.00120089,0.00120089
3,922.869,0.62975,0.45921,0.98616,0.96109,0.97026,0.98837,0.88037,0.51461,0.3388,0.89935,0.0016036,0.0016036,0.0016036
4,1225.81,0.62037,0.44111,0.98263,0.97186,0.96945,0.98767,0.89197,0.49131,0.32779,0.89338,0.001406,0.001406,0.001406
5,1526.29,0.59094,0.41992,0.9639,0.97006,0.97304,0.98897,0.91452,0.43411,0.29371,0.86762,0.001208,0.001208,0.001208
6,1827.81,0.56394,0.39383,0.9534,0.97159,0.97554,0.98926,0.92545,0.41414,0.27806,0.8649,0.00101,0.00101,0.00101
7,2126.13,0.54006,0.37174,0.94188,0.98098,0.97888,0.98963,0.92209,0.41395,0.26688,0.86332,0.000812,0.000812,0.000812
8,2425.77,0.51336,0.34906,0.93043,0.97442,0.9836,0.99045,0.93067,0.3833,0.25234,0.85305,0.000614,0.000614,0.000614
9,2726.47,0.49155,0.33361,0.92248,0.98061,0.98221,0.99114,0.94201,0.36352,0.24074,0.84824,0.000416,0.000416,0.000416
10,3023.3,0.4699,0.31154,0.91418,0.98379,0.98694,0.99099,0.94868,0.33125,0.22014,0.83907,0.000218,0.000218,0.000218
