epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.032,0.8932,1.34694,1.02086,0.97587,0.97883,0.98277,0.73533,0.94538,0.60615,0.97975,0.000665679,0.000665679,0.000665679
2,355.37,0.80402,0.61919,0.99137,0.97548,0.99197,0.98158,0.76667,0.82314,0.4308,0.93929,0.00124441,0.00124441,0.00124441
3,521.691,0.76864,0.51263,0.98033,0.97574,0.99107,0.98343,0.83136,0.6173,0.39009,0.88284,0.00173514,0.00173514,0.00173514
4,687.339,0.72981,0.46148,0.96295,0.97669,0.99565,0.98639,0.82893,0.66692,0.363,0.89566,0.001604,0.001604,0.001604
5,854.194,0.69744,0.42492,0.95269,0.98015,0.99275,0.98169,0.85864,0.54974,0.35326,0.86606,0.001472,0.001472,0.001472
6,1020.53,0.6718,0.39663,0.93965,0.98127,0.99565,0.98379,0.85602,0.57441,0.31589,0.86568,0.00134,0.00134,0.00134
7,1185.73,0.64517,0.37047,0.92844,0.98142,0.99559,0.98602,0.84826,0.61299,0.3103,0.87407,0.001208,0.001208,0.001208
8,1350.66,0.63648,0.36061,0.9261,0.98086,0.99536,0.98608,0.88325,0.49849,0.28852,0.84847,0.001076,0.001076,0.001076
9,1515.04,0.62092,0.34805,0.92206,0.9842,0.99797,0.98247,0.88402,0.50712,0.27483,0.84862,0.000944,0.000944,0.000944
10,1678.28,0.61079,0.33978,0.92001,0.98378,0.99768,0.98548,0.89694,0.48434,0.2629,0.842,0.000812,0.000812,0.000812
11,1840.51,0.58962,0.31997,0.91274,0.98411,0.99797,0.98521,0.89492,0.48564,0.26101,0.84228,0.00068,0.00068,0.00068
12,2002.57,0.57989,0.31214,0.90873,0.98449,0.99797,0.98321,0.89148,0.4989,0.25403,0.84334,0.000548,0.000548,0.000548
13,2172.36,0.55834,0.29702,0.89711,0.98451,0.99797,0.98693,0.9061,0.4725,0.24418,0.83541,0.000416,0.000416,0.000416
14,2355.11,0.54202,0.28063,0.89012,0.98447,0.99739,0.98654,0.91898,0.42554,0.22973,0.82831,0.000284,0.000284,0.000284
15,2535.86,0.53052,0.27566,0.88823,0.9845,0.99797,0.98614,0.91285,0.44386,0.22995,0.83013,0.000152,0.000152,0.000152
