epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.963,0.59038,0.33577,0.95379,0.98258,0.99758,0.9846,0.88936,0.5106,0.35214,0.89947,0.000666173,0.000666173,0.000666173
2,688.047,0.61546,0.36017,0.96735,0.98258,0.99762,0.98703,0.88935,0.49156,0.34102,0.89202,0.00120089,0.00120089,0.00120089
3,1022,0.62208,0.36518,0.97092,0.98247,0.99768,0.9848,0.87118,0.53717,0.35988,0.89799,0.0016036,0.0016036,0.0016036
4,1356.78,0.61351,0.35386,0.96448,0.98238,0.99739,0.98791,0.88843,0.50065,0.3379,0.88739,0.001406,0.001406,0.001406
5,1706.51,0.59096,0.33903,0.95461,0.98283,0.99768,0.98537,0.88971,0.47876,0.36798,0.87645,0.001208,0.001208,0.001208
6,2055.16,0.57548,0.32343,0.94687,0.98574,0.9971,0.98518,0.88343,0.52492,0.31659,0.89565,0.00101,0.00101,0.00101
7,2406.17,0.54945,0.30336,0.93513,0.98641,0.99797,0.98656,0.9052,0.47101,0.29168,0.87587,0.000812,0.000812,0.000812
8,2760.4,0.54236,0.29762,0.9303,0.98739,0.99681,0.98519,0.89857,0.4703,0.2936,0.87633,0.000614,0.000614,0.000614
9,3110.21,0.52422,0.28217,0.92417,0.98645,0.99797,0.98789,0.9139,0.45892,0.27466,0.87158,0.000416,0.000416,0.000416
10,3459.01,0.50939,0.27269,0.91841,0.98834,0.99797,0.98843,0.92051,0.4323,0.26131,0.85952,0.000218,0.000218,0.000218
