epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.035,0.96815,1.34,1.01981,0.9804,0.98655,0.99206,0.69771,1.05177,0.66725,0.90948,0.000665679,0.000665679,0.000665679
2,337.43,0.87719,0.68977,0.96974,0.9596,0.98963,0.98685,0.81626,0.69877,0.52057,0.839,0.00124441,0.00124441,0.00124441
3,496.581,0.82113,0.57282,0.94989,0.98651,0.98361,0.99374,0.84316,0.62276,0.42966,0.82427,0.00173514,0.00173514,0.00173514
4,654.112,0.7609,0.51008,0.93032,0.98949,0.99408,0.99366,0.85384,0.60371,0.37516,0.81505,0.001604,0.001604,0.001604
5,812.307,0.71396,0.46387,0.91682,0.99323,0.99667,0.99398,0.88215,0.5415,0.32251,0.80667,0.001472,0.001472,0.001472
6,970.86,0.6637,0.42586,0.90227,0.99323,0.99639,0.99353,0.90087,0.46553,0.30001,0.79515,0.00134,0.00134,0.00134
7,1128.44,0.63316,0.402,0.89654,0.99417,0.99472,0.99493,0.91474,0.43432,0.27716,0.79031,0.001208,0.001208,0.001208
8,1287,0.60974,0.37811,0.88502,0.99281,0.99778,0.99354,0.93125,0.39333,0.26464,0.7837,0.001076,0.001076,0.001076
9,1445.76,0.58691,0.36277,0.88429,0.99414,0.99722,0.99462,0.93873,0.37609,0.2447,0.78411,0.000944,0.000944,0.000944
10,1603.81,0.56805,0.35072,0.88013,0.99667,0.99689,0.99492,0.9428,0.37123,0.23652,0.77933,0.000812,0.000812,0.000812
11,1760.63,0.53547,0.32651,0.87014,0.99678,0.99583,0.99471,0.9358,0.37877,0.23754,0.78032,0.00068,0.00068,0.00068
12,1917.98,0.52104,0.31519,0.86473,0.99688,0.99583,0.99492,0.94816,0.34925,0.21815,0.77766,0.000548,0.000548,0.000548
13,2076.33,0.499,0.30075,0.86055,0.99702,0.99556,0.9946,0.94912,0.35057,0.21086,0.77692,0.000416,0.000416,0.000416
14,2232.54,0.47261,0.28325,0.85508,0.99694,0.99604,0.99455,0.96264,0.30451,0.20095,0.77238,0.000284,0.000284,0.000284
15,2387.98,0.45533,0.27265,0.85361,0.99691,0.99639,0.99473,0.95969,0.31489,0.19124,0.77266,0.000152,0.000152,0.000152
