epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.966,0.5463,0.3326,0.91539,0.99226,0.99738,0.99431,0.91834,0.42504,0.26052,0.81478,0.000666173,0.000666173,0.000666173
2,600.97,0.58825,0.36041,0.92008,0.99253,0.99631,0.99336,0.90733,0.44641,0.27747,0.82751,0.00120089,0.00120089,0.00120089
3,894.445,0.58839,0.36055,0.92075,0.99197,0.99806,0.99434,0.88209,0.54349,0.29088,0.8451,0.0016036,0.0016036,0.0016036
4,1185.52,0.57195,0.34858,0.91278,0.99291,0.9975,0.99476,0.9231,0.44351,0.25214,0.82605,0.001406,0.001406,0.001406
5,1479.39,0.55231,0.33592,0.90805,0.99694,0.9963,0.99479,0.90947,0.46645,0.25914,0.82098,0.001208,0.001208,0.001208
6,1773.13,0.52222,0.31627,0.89793,0.99405,0.99667,0.99408,0.9432,0.34423,0.22486,0.80373,0.00101,0.00101,0.00101
7,2064.57,0.49901,0.29805,0.88872,0.9945,0.99694,0.9944,0.93904,0.38227,0.21748,0.80376,0.000812,0.000812,0.000812
8,2357.75,0.47376,0.27917,0.88054,0.9957,0.995,0.99491,0.95872,0.31916,0.20289,0.79497,0.000614,0.000614,0.000614
9,2649.27,0.4543,0.26755,0.87701,0.99548,0.99694,0.99486,0.9604,0.31197,0.18857,0.79213,0.000416,0.000416,0.000416
10,2940.7,0.43117,0.24956,0.87129,0.99567,0.99694,0.9949,0.96767,0.29367,0.17454,0.7875,0.000218,0.000218,0.000218
