epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.65,1.10361,1.67674,1.16117,0.90893,0.88654,0.93905,0.67038,0.99854,0.79756,0.97978,0.000665679,0.000665679,0.000665679
2,351.381,1.04842,0.94922,1.10651,0.93605,0.92395,0.96412,0.73325,0.8661,0.60817,0.94191,0.00124441,0.00124441,0.00124441
3,512.925,0.99739,0.8023,1.0783,0.94501,0.908,0.96853,0.74074,0.88692,0.57815,0.9463,0.00173514,0.00173514,0.00173514
4,675.302,0.9478,0.71679,1.0533,0.96088,0.96305,0.97816,0.74778,0.90401,0.49139,0.92668,0.001604,0.001604,0.001604
5,840.052,0.88956,0.646,1.02231,0.96818,0.97301,0.98577,0.79287,0.77896,0.44103,0.89367,0.001472,0.001472,0.001472
6,1003.19,0.84563,0.59603,1.00567,0.97516,0.98137,0.98828,0.83779,0.63293,0.3672,0.86391,0.00134,0.00134,0.00134
7,1163.81,0.79959,0.55378,0.98722,0.97934,0.9756,0.98971,0.85191,0.60347,0.34429,0.85432,0.001208,0.001208,0.001208
8,1327.49,0.76518,0.51556,0.97084,0.98323,0.97887,0.99064,0.88463,0.5038,0.31092,0.84039,0.001076,0.001076,0.001076
9,1491.09,0.73866,0.4889,0.96181,0.98394,0.98192,0.99091,0.894,0.48378,0.29646,0.83027,0.000944,0.000944,0.000944
10,1653.2,0.71316,0.4614,0.95127,0.97934,0.98868,0.99199,0.90999,0.44832,0.28213,0.82694,0.000812,0.000812,0.000812
11,1814.24,0.68682,0.44273,0.94168,0.98718,0.98971,0.99222,0.90804,0.45096,0.26683,0.82102,0.00068,0.00068,0.00068
12,1975.18,0.66566,0.42222,0.9361,0.99166,0.99177,0.99348,0.91228,0.44456,0.25566,0.82044,0.000548,0.000548,0.000548
13,2136.71,0.63596,0.39788,0.92198,0.99139,0.99277,0.9932,0.92996,0.39796,0.24408,0.81087,0.000416,0.000416,0.000416
14,2297.92,0.61312,0.37716,0.91582,0.99278,0.99441,0.99327,0.93881,0.3742,0.22721,0.80747,0.000284,0.000284,0.000284
15,2459.14,0.59016,0.3634,0.90797,0.99278,0.99448,0.99341,0.9428,0.36317,0.218,0.80377,0.000152,0.000152,0.000152
