epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.52,0.66588,0.42305,0.98252,0.98332,0.98381,0.99112,0.89384,0.47794,0.29205,0.85545,0.000666173,0.000666173,0.000666173
2,620.904,0.7225,0.47751,1.00768,0.98278,0.98248,0.99264,0.87677,0.52576,0.30956,0.8674,0.00120089,0.00120089,0.00120089
3,913.191,0.72664,0.48521,1.0061,0.97977,0.9797,0.9912,0.88197,0.53209,0.31395,0.86948,0.0016036,0.0016036,0.0016036
4,1206.78,0.71918,0.47971,0.99969,0.9855,0.98721,0.99119,0.86233,0.593,0.30609,0.87731,0.001406,0.001406,0.001406
5,1504.22,0.69236,0.45187,0.98979,0.98231,0.99027,0.98956,0.91185,0.4374,0.27233,0.84609,0.001208,0.001208,0.001208
6,1801.9,0.65749,0.42288,0.97264,0.99012,0.98999,0.99268,0.93118,0.40251,0.24931,0.83483,0.00101,0.00101,0.00101
7,2097.33,0.63509,0.40085,0.96227,0.98832,0.99221,0.99306,0.93894,0.38343,0.23735,0.82729,0.000812,0.000812,0.000812
8,2398.99,0.60166,0.37192,0.94708,0.98759,0.99613,0.993,0.93508,0.39074,0.22977,0.82887,0.000614,0.000614,0.000614
9,2696.22,0.57404,0.35128,0.93528,0.98799,0.99583,0.99297,0.94865,0.35188,0.20887,0.819,0.000416,0.000416,0.000416
10,2992.61,0.5511,0.32984,0.92719,0.99401,0.99305,0.9932,0.95148,0.3589,0.20356,0.81871,0.000218,0.000218,0.000218
