epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.327,0.92942,1.66215,0.97555,0.92341,0.8842,0.94162,0.71693,0.9295,0.75087,0.91104,0.000665679,0.000665679,0.000665679
2,925.558,0.8673,0.81828,0.93583,0.9459,0.94167,0.97799,0.75327,0.91102,0.58841,0.90469,0.00124441,0.00124441,0.00124441
3,1393.18,0.82402,0.66047,0.9191,0.96522,0.9637,0.98414,0.7632,0.87642,0.50629,0.88552,0.00173514,0.00173514,0.00173514
4,1854.95,0.79479,0.60799,0.91019,0.95556,0.97028,0.98603,0.78779,0.83182,0.47855,0.86976,0.001604,0.001604,0.001604
5,2321.83,0.75158,0.55416,0.89436,0.96722,0.96806,0.99003,0.84035,0.65218,0.40272,0.8391,0.001472,0.001472,0.001472
6,2789.07,0.71207,0.51534,0.88642,0.9627,0.98722,0.98786,0.80566,0.76877,0.42161,0.8556,0.00134,0.00134,0.00134
7,3257.67,0.6825,0.48293,0.87675,0.97168,0.98155,0.98645,0.80499,0.74242,0.40325,0.85027,0.001208,0.001208,0.001208
8,3723.93,0.65634,0.44936,0.86926,0.98138,0.98097,0.99232,0.86551,0.56229,0.3443,0.82173,0.001076,0.001076,0.001076
9,4189.24,0.63732,0.43183,0.86345,0.97483,0.97914,0.99233,0.88731,0.51031,0.32534,0.81615,0.000944,0.000944,0.000944
10,4655.19,0.62479,0.41845,0.86003,0.97638,0.98757,0.99349,0.88505,0.51683,0.31441,0.81553,0.000812,0.000812,0.000812
11,5120.37,0.59787,0.39617,0.85251,0.97475,0.99139,0.99355,0.90418,0.4606,0.29305,0.80797,0.00068,0.00068,0.00068
12,5588.53,0.58111,0.37949,0.84992,0.97711,0.98917,0.99341,0.89003,0.49776,0.3001,0.8111,0.000548,0.000548,0.000548
13,6055.37,0.56848,0.36953,0.84651,0.98246,0.98611,0.99367,0.91491,0.44479,0.2783,0.80501,0.000416,0.000416,0.000416
14,6515.12,0.5464,0.3502,0.84164,0.98175,0.98643,0.99344,0.9223,0.40724,0.26457,0.80076,0.000284,0.000284,0.000284
15,6976.24,0.53593,0.33944,0.83951,0.98467,0.98333,0.99367,0.92836,0.39615,0.25722,0.79944,0.000152,0.000152,0.000152
