epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.853,0.57032,0.3828,0.87191,0.98412,0.96639,0.99222,0.76116,0.94676,0.40351,0.92506,0.000666173,0.000666173,0.000666173
2,1241.56,0.61,0.43414,0.88222,0.97355,0.98333,0.99248,0.79209,0.8312,0.37764,0.88323,0.00120089,0.00120089,0.00120089
3,1860.35,0.61874,0.43169,0.88333,0.97121,0.98389,0.99112,0.78524,0.85774,0.39323,0.89365,0.0016036,0.0016036,0.0016036
4,2471.29,0.59751,0.41843,0.87808,0.97995,0.97778,0.99175,0.76565,0.96305,0.39833,0.91958,0.001406,0.001406,0.001406
5,3091.45,0.57939,0.39519,0.87125,0.97041,0.98402,0.99242,0.82346,0.72304,0.34957,0.86173,0.001208,0.001208,0.001208
6,3700.44,0.57434,0.38646,0.87035,0.98089,0.98376,0.99297,0.82715,0.7122,0.32791,0.85351,0.00101,0.00101,0.00101
7,4306.31,0.54698,0.35675,0.86083,0.97743,0.98722,0.99331,0.83119,0.72621,0.32791,0.85244,0.000812,0.000812,0.000812
8,4909.09,0.52949,0.33808,0.85794,0.98342,0.98826,0.99348,0.82722,0.73755,0.31396,0.86177,0.000614,0.000614,0.000614
9,5512.57,0.51461,0.32141,0.8514,0.98661,0.98235,0.99398,0.82678,0.75574,0.31288,0.85924,0.000416,0.000416,0.000416
10,6118.29,0.49676,0.30381,0.84635,0.98459,0.98611,0.99405,0.83574,0.7315,0.29942,0.85219,0.000218,0.000218,0.000218
