epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.956,1.18956,2.16171,0.99909,0.89747,0.80006,0.89348,0.63818,1.04215,1.009,0.90103,0.000665525,0.000665525,0.000665525
2,307.967,1.07133,1.02183,0.94831,0.92971,0.86178,0.93773,0.69174,0.95174,0.70966,0.88103,0.00124427,0.00124427,0.00124427
3,450.143,1.0213,0.82664,0.93367,0.93661,0.88653,0.94124,0.63212,1.18585,0.71468,0.9149,0.00173501,0.00173501,0.00173501
4,590.813,0.9767,0.7403,0.9195,0.93218,0.92221,0.95732,0.73584,0.87543,0.60541,0.85812,0.001604,0.001604,0.001604
5,730.315,0.92857,0.68242,0.90624,0.93981,0.92357,0.97184,0.74678,0.86167,0.53878,0.85492,0.001472,0.001472,0.001472
6,869.774,0.89219,0.63134,0.88963,0.95121,0.90582,0.96949,0.78131,0.76444,0.52181,0.84062,0.00134,0.00134,0.00134
7,1010.38,0.86115,0.59637,0.88673,0.9419,0.93796,0.97931,0.79368,0.73565,0.48882,0.83309,0.001208,0.001208,0.001208
8,1150.4,0.82593,0.56357,0.87717,0.95249,0.94091,0.97971,0.79833,0.71343,0.47283,0.82795,0.001076,0.001076,0.001076
9,1292.37,0.80161,0.53755,0.86848,0.94511,0.94793,0.98123,0.80513,0.70785,0.45626,0.82346,0.000944,0.000944,0.000944
10,1434.5,0.77501,0.51455,0.86459,0.93818,0.95606,0.98097,0.82192,0.64606,0.43728,0.81731,0.000812,0.000812,0.000812
11,1579.01,0.75763,0.4909,0.85963,0.95593,0.94828,0.9858,0.83323,0.6636,0.42722,0.81975,0.00068,0.00068,0.00068
12,1723.86,0.73207,0.4698,0.8543,0.95469,0.96163,0.98679,0.8374,0.60123,0.40971,0.8144,0.000548,0.000548,0.000548
13,1863.66,0.71362,0.45668,0.85142,0.96014,0.96001,0.98705,0.86439,0.56476,0.38108,0.80813,0.000416,0.000416,0.000416
14,2003.59,0.68265,0.42947,0.84577,0.95661,0.96207,0.98723,0.86031,0.56208,0.37623,0.80658,0.000284,0.000284,0.000284
15,2143.45,0.65788,0.41504,0.84176,0.96205,0.96175,0.98886,0.86757,0.55081,0.35987,0.80525,0.000152,0.000152,0.000152
