epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.134,0.71879,0.48719,0.87706,0.9432,0.93893,0.97806,0.76155,0.82032,0.48529,0.87087,0.000666096,0.000666096,0.000666096
2,539.902,0.76017,0.53256,0.88405,0.94684,0.95757,0.98349,0.68491,1.1324,0.52657,0.93485,0.00120082,0.00120082,0.00120082
3,803.662,0.77227,0.54206,0.88838,0.95296,0.95693,0.97867,0.76524,0.86676,0.49042,0.87796,0.00160354,0.00160354,0.00160354
4,1065.74,0.7594,0.5278,0.88475,0.96038,0.93925,0.98232,0.76395,0.84373,0.46193,0.87391,0.001406,0.001406,0.001406
5,1325.93,0.73467,0.49887,0.87874,0.95981,0.95275,0.98635,0.81822,0.67542,0.40976,0.84718,0.001208,0.001208,0.001208
6,1584.86,0.71253,0.47086,0.87065,0.95636,0.96561,0.9872,0.81199,0.72499,0.40572,0.85018,0.00101,0.00101,0.00101
7,1844,0.69458,0.45141,0.86981,0.96543,0.96062,0.98894,0.84383,0.61701,0.38186,0.83608,0.000812,0.000812,0.000812
8,2101.09,0.66073,0.42676,0.85797,0.96223,0.96638,0.98784,0.83381,0.66272,0.37381,0.83977,0.000614,0.000614,0.000614
9,2357.3,0.6423,0.41104,0.85517,0.96535,0.96689,0.98839,0.86676,0.56485,0.34797,0.82537,0.000416,0.000416,0.000416
10,2615.99,0.6101,0.38644,0.84804,0.96124,0.97268,0.98895,0.86858,0.56042,0.33684,0.8249,0.000218,0.000218,0.000218
