epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.424,1.36157,2.04309,1.16237,0.87979,0.90778,0.93525,0.56187,1.24445,0.99005,1.02751,0.000665679,0.000665679,0.000665679
2,329.078,1.22634,1.04226,1.08641,0.91964,0.90778,0.95343,0.62272,1.15423,0.83271,0.99628,0.00124441,0.00124441,0.00124441
3,484.52,1.15631,0.87212,1.05589,0.94487,0.95639,0.96596,0.63306,1.17134,0.72612,1.00828,0.00173514,0.00173514,0.00173514
4,639.89,1.10884,0.78793,1.03523,0.95314,0.96,0.9772,0.65524,1.17461,0.67594,1.00974,0.001604,0.001604,0.001604
5,795.988,1.0701,0.72007,1.01648,0.96387,0.96348,0.98357,0.70687,1.05656,0.59924,0.94661,0.001472,0.001472,0.001472
6,952.541,1.02374,0.68367,0.99907,0.96362,0.96396,0.98186,0.75584,0.88348,0.5637,0.91612,0.00134,0.00134,0.00134
7,1108.93,0.97165,0.64049,0.97806,0.97047,0.97889,0.98533,0.77237,0.84837,0.51599,0.90838,0.001208,0.001208,0.001208
8,1265.64,0.92631,0.59216,0.96432,0.96542,0.97972,0.98453,0.79441,0.79005,0.48291,0.89405,0.001076,0.001076,0.001076
9,1421.7,0.9036,0.57533,0.95799,0.96946,0.97878,0.98775,0.81808,0.70155,0.46173,0.87856,0.000944,0.000944,0.000944
10,1576.95,0.87481,0.54765,0.95003,0.97153,0.97944,0.98721,0.83498,0.66746,0.435,0.87256,0.000812,0.000812,0.000812
11,1732.61,0.83177,0.51766,0.93469,0.97819,0.98423,0.98931,0.83731,0.67102,0.424,0.86953,0.00068,0.00068,0.00068
12,1889.85,0.81479,0.50541,0.93049,0.97679,0.982,0.98932,0.83986,0.65092,0.40374,0.86201,0.000548,0.000548,0.000548
13,2048.83,0.78122,0.47974,0.91989,0.97918,0.98722,0.99022,0.84162,0.66024,0.39265,0.85426,0.000416,0.000416,0.000416
14,2209.2,0.7493,0.45519,0.91307,0.98238,0.98389,0.98988,0.86693,0.59173,0.36894,0.85298,0.000284,0.000284,0.000284
15,2365.74,0.72626,0.44037,0.9054,0.9828,0.98392,0.99027,0.87626,0.55556,0.3592,0.84226,0.000152,0.000152,0.000152
