epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.489,0.82035,0.51327,0.9924,0.96646,0.97556,0.98306,0.8112,0.73476,0.45338,0.93262,0.000666173,0.000666173,0.000666173
2,599.511,0.87313,0.56028,1.00597,0.96499,0.97278,0.98288,0.79291,0.74489,0.48504,0.94068,0.00120089,0.00120089,0.00120089
3,895.336,0.87598,0.56648,1.01076,0.9531,0.97651,0.98147,0.77948,0.78643,0.49903,0.95222,0.0016036,0.0016036,0.0016036
4,1189,0.86101,0.54531,0.99791,0.97195,0.97972,0.98675,0.80739,0.73745,0.44716,0.92147,0.001406,0.001406,0.001406
5,1483.13,0.82195,0.51392,0.98533,0.97339,0.98028,0.98869,0.8432,0.63662,0.42481,0.91142,0.001208,0.001208,0.001208
6,1779.17,0.79726,0.49362,0.97437,0.97759,0.98722,0.98892,0.83649,0.64843,0.40156,0.89492,0.00101,0.00101,0.00101
7,2070.56,0.75827,0.46682,0.95805,0.98349,0.98444,0.98944,0.84929,0.59955,0.38768,0.88518,0.000812,0.000812,0.000812
8,2362.33,0.73465,0.43924,0.9491,0.98309,0.98499,0.9899,0.85942,0.59221,0.36146,0.88023,0.000614,0.000614,0.000614
9,2653.4,0.70318,0.4237,0.94032,0.98163,0.985,0.99043,0.87158,0.54823,0.34938,0.87215,0.000416,0.000416,0.000416
10,2943.94,0.67483,0.40227,0.93019,0.98233,0.98852,0.99149,0.88083,0.5232,0.33055,0.85882,0.000218,0.000218,0.000218
