epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.948,0.8944,1.2542,1.00422,0.98157,0.9711,0.99011,0.75114,0.88827,0.61092,0.88056,0.000665679,0.000665679,0.000665679
2,353.465,0.80798,0.63433,0.95567,0.98742,0.9878,0.99323,0.81509,0.70987,0.42663,0.8482,0.00124441,0.00124441,0.00124441
3,515.58,0.76837,0.53265,0.9445,0.99584,0.99399,0.99486,0.79715,0.80329,0.39327,0.85553,0.00173514,0.00173514,0.00173514
4,676.257,0.71967,0.4813,0.92825,0.99571,0.99535,0.99367,0.81037,0.72637,0.36872,0.84227,0.001604,0.001604,0.001604
5,839.494,0.67778,0.4388,0.91614,0.9956,0.998,0.99494,0.89507,0.49701,0.29743,0.81692,0.001472,0.001472,0.001472
6,1001.54,0.6329,0.40626,0.90172,0.9967,0.99571,0.99495,0.88652,0.53575,0.29041,0.81898,0.00134,0.00134,0.00134
7,1164.05,0.60458,0.38468,0.8958,0.99457,0.99633,0.99471,0.92351,0.41339,0.26333,0.80197,0.001208,0.001208,0.001208
8,1324.36,0.58356,0.36097,0.88545,0.99742,0.99742,0.99496,0.92381,0.40573,0.24896,0.80248,0.001076,0.001076,0.001076
9,1485.39,0.55943,0.34676,0.88217,0.99821,0.99742,0.99495,0.92944,0.40669,0.24243,0.79876,0.000944,0.000944,0.000944
10,1645.67,0.53927,0.33367,0.87679,0.99685,0.9972,0.99491,0.94658,0.35689,0.22916,0.79527,0.000812,0.000812,0.000812
11,1803.49,0.51813,0.31859,0.86874,0.99795,0.99828,0.99494,0.9531,0.34801,0.21327,0.79183,0.00068,0.00068,0.00068
12,1959.9,0.50161,0.30266,0.86563,0.99865,0.99657,0.995,0.95288,0.36396,0.20968,0.79116,0.000548,0.000548,0.000548
13,2118.45,0.48326,0.29102,0.86434,0.99769,0.99828,0.99497,0.96138,0.33214,0.19633,0.78925,0.000416,0.000416,0.000416
14,2275.72,0.45976,0.27401,0.85417,0.99736,0.99828,0.99499,0.96391,0.31207,0.19066,0.78682,0.000284,0.000284,0.000284
15,2431.34,0.43833,0.26414,0.85287,0.99822,0.99828,0.99498,0.96202,0.32286,0.18623,0.78577,0.000152,0.000152,0.000152
