epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.269,0.51436,0.30982,0.90159,0.99514,0.9956,0.99476,0.93938,0.37068,0.23773,0.79589,0.000666173,0.000666173,0.000666173
2,600.568,0.5557,0.33913,0.90874,0.99439,0.99514,0.99492,0.90561,0.46521,0.26385,0.81093,0.00120089,0.00120089,0.00120089
3,892.475,0.56271,0.34019,0.9078,0.99251,0.99227,0.99454,0.88167,0.5128,0.28656,0.81532,0.0016036,0.0016036,0.0016036
4,1184.82,0.55016,0.33503,0.90443,0.99571,0.99571,0.99492,0.89086,0.49574,0.26441,0.81347,0.001406,0.001406,0.001406
5,1479.16,0.5283,0.31584,0.89628,0.99685,0.99681,0.99494,0.88881,0.52,0.24044,0.82632,0.001208,0.001208,0.001208
6,1775.89,0.49979,0.29469,0.88607,0.99616,0.99714,0.99498,0.90283,0.45719,0.23088,0.80339,0.00101,0.00101,0.00101
7,2065.66,0.47573,0.27962,0.88061,0.99771,0.99828,0.99497,0.93008,0.38053,0.19892,0.79265,0.000812,0.000812,0.000812
8,2358.84,0.45547,0.26208,0.87106,0.99794,0.99714,0.99495,0.9327,0.38911,0.19621,0.79182,0.000614,0.000614,0.000614
9,2650.08,0.43616,0.2482,0.86659,0.99857,0.99771,0.99496,0.91585,0.43463,0.19862,0.80595,0.000416,0.000416,0.000416
10,2940.61,0.41484,0.23635,0.86349,0.99828,0.99815,0.99499,0.92618,0.40294,0.18389,0.79778,0.000218,0.000218,0.000218
