epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.843,0.99822,1.69463,0.98976,0.94676,0.89409,0.95335,0.67825,1.08235,0.75149,0.90126,0.000665679,0.000665679,0.000665679
2,349.811,0.92531,0.82882,0.94658,0.95179,0.94325,0.97427,0.77427,0.81248,0.57479,0.86647,0.00124441,0.00124441,0.00124441
3,514.044,0.89193,0.69176,0.93221,0.9557,0.94078,0.97406,0.7212,0.94726,0.69484,0.88433,0.00173514,0.00173514,0.00173514
4,678.278,0.86664,0.63737,0.92443,0.97285,0.96778,0.98863,0.72069,1.04746,0.54917,0.90901,0.001604,0.001604,0.001604
5,842.592,0.82073,0.57056,0.91008,0.97737,0.96556,0.98897,0.79746,0.76892,0.44487,0.84901,0.001472,0.001472,0.001472
6,1007.55,0.77033,0.52826,0.89624,0.97623,0.97861,0.98703,0.81427,0.70141,0.41371,0.83902,0.00134,0.00134,0.00134
7,1170.32,0.71407,0.49042,0.88138,0.98077,0.98194,0.99018,0.85025,0.626,0.38414,0.82631,0.001208,0.001208,0.001208
8,1335.98,0.69007,0.46653,0.87321,0.9806,0.97639,0.98941,0.8619,0.55012,0.3676,0.81826,0.001076,0.001076,0.001076
9,1500.25,0.66785,0.44503,0.86946,0.98247,0.97972,0.98825,0.88775,0.50742,0.35383,0.81139,0.000944,0.000944,0.000944
10,1666.66,0.64546,0.42286,0.86205,0.9846,0.97944,0.98978,0.88871,0.49792,0.33098,0.80428,0.000812,0.000812,0.000812
11,1831.9,0.62089,0.40559,0.85744,0.9763,0.99533,0.99235,0.91296,0.44467,0.31367,0.80368,0.00068,0.00068,0.00068
12,1997.64,0.60376,0.39168,0.85469,0.97876,0.98778,0.99294,0.90146,0.48216,0.30968,0.80048,0.000548,0.000548,0.000548
13,2162.79,0.57672,0.3741,0.84851,0.97839,0.99343,0.99347,0.91954,0.42974,0.28871,0.79834,0.000416,0.000416,0.000416
14,2327.73,0.5603,0.35518,0.84369,0.97734,0.99306,0.99374,0.92217,0.42311,0.28025,0.79526,0.000284,0.000284,0.000284
15,2491.37,0.53782,0.34248,0.83929,0.98217,0.99466,0.99436,0.93229,0.39098,0.2621,0.79059,0.000152,0.000152,0.000152
