epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.648,0.5903,0.38823,0.87129,0.98454,0.97639,0.99246,0.85942,0.63146,0.35124,0.82089,0.000666173,0.000666173,0.000666173
2,624.185,0.63998,0.43768,0.88123,0.97356,0.98111,0.99263,0.85117,0.61011,0.34953,0.82124,0.00120089,0.00120089,0.00120089
3,933.121,0.63853,0.43485,0.88252,0.97288,0.98647,0.99181,0.88839,0.4782,0.3362,0.80863,0.0016036,0.0016036,0.0016036
4,1234.56,0.62448,0.42005,0.87713,0.97912,0.985,0.99116,0.89286,0.48615,0.30733,0.80503,0.001406,0.001406,0.001406
5,1538.2,0.59956,0.39637,0.87011,0.97907,0.98774,0.99217,0.90557,0.44751,0.29021,0.79849,0.001208,0.001208,0.001208
6,1842.56,0.58067,0.37789,0.86553,0.98283,0.98833,0.99329,0.89512,0.5028,0.28726,0.80169,0.00101,0.00101,0.00101
7,2143.95,0.55051,0.35224,0.85563,0.98265,0.99109,0.99406,0.92048,0.42478,0.26384,0.79087,0.000812,0.000812,0.000812
8,2448.7,0.5363,0.33612,0.85377,0.97919,0.99389,0.99318,0.91992,0.42821,0.2581,0.79024,0.000614,0.000614,0.000614
9,2752.95,0.51815,0.32236,0.85011,0.98576,0.99361,0.99464,0.93741,0.37045,0.2357,0.78351,0.000416,0.000416,0.000416
10,3058.4,0.4932,0.30125,0.84257,0.98726,0.99333,0.99451,0.94319,0.35456,0.22356,0.78146,0.000218,0.000218,0.000218
